brand,product_name,barcode,image_url,category
Grace,Lait de coco Premium,5035139218922,https://images.openfoodfacts.org/images/products/503/513/921/8922/front_fr.18.400.jpg,Uncategorized
Tropical Sun,Lemon & Pepper Chicken Fry Mix,5029788178232,https://images.openfoodfacts.org/images/products/502/978/817/8232/front_en.3.400.jpg,Meat/Seafood & Poultry
Grace,Long grain parboiled rice,0055270952931,https://images.openfoodfacts.org/images/products/005/527/095/2931/front_fr.10.400.jpg,Rice
Malta Guinness,Malta Guinness,6034000106091,,Drinks
,Malta Guinness Bottle Box,5000213011942,,Drinks
,Malta Guinness cans,5010162000164,,Drinks
Maltina,Maltina cans,5025866000181,,Drinks
Grace,Mango Carrot Juice,0055270832684,https://images.openfoodfacts.org/images/products/005/527/083/2684/front_fr.3.400.jpg,Uncategorized
Grace,Marmite bouillon de poule,95952765,https://images.openfoodfacts.org/images/products/000/009/595/2765/front_fr.3.400.jpg,Uncategorized
Peak,Milk Powder 2500g,8716200456715,,Uncategorized
Tropical Sun,Molasses,5029788100080,https://images.openfoodfacts.org/images/products/502/978/810/0080/front_en.14.400.jpg,Uncategorized
Tropical Sun,Moringa,5029788184622,https://images.openfoodfacts.org/images/products/502/978/818/4622/front_fr.4.400.jpg,Uncategorized
MP,MP Pounded Yam 4 kg,,,Flour & Starches
Tropical Sun,Natural Brown Basmati Rice,5029788194324,https://images.openfoodfacts.org/images/products/502/978/819/4324/front_en.4.400.jpg,Rice
Grace,"Natural guernsey, kefir",0835481004076,,Uncategorized
,Nestle Cocoa Milo 275grms,,,Drinks
,Nigeria Bournvita 500grms,,,Uncategorized
,Nkulenu Palm Wine 1L,,,Drinks
Grace,No Pulp Coconut Water,0055270832271,,Produce (Fresh/Frozen)
Grace,No Salt Plantain Chips,5035139218045,https://images.openfoodfacts.org/images/products/503/513/921/8045/front_fr.18.400.jpg,Snacks & Confectionery
Dunn's River,Nurishment,5012389670595,https://images.openfoodfacts.org/images/products/501/238/967/0595/front_en.19.400.jpg,Uncategorized
Tropical Vibes,Ocean Blue,5029788203347,,Uncategorized
Unbranded,Ofor Powder,,,Uncategorized
Unbranded,Okpa Flour 1 kg,,,Flour & Starches
OLA-Ola,OLA-Ola Pounded Yam,0650655244702,,Flour & Starches
Tropical Sun,Olio Di Cocco,5029788175569,,Uncategorized
Olu Olu,Olu Olu Poundo Iyan,,,Uncategorized
Tropical Sun,Organic coconut sugar,5029788182680,https://images.openfoodfacts.org/images/products/502/978/818/2680/front_en.18.400.jpg,Produce (Fresh/Frozen)
Blue Band,Original 500g,6164004676228,,Uncategorized
,Ovaltine sachet,,,Drinks
Tropical Sun,Pilchards In Brine,5029788176764,,Uncategorized
Fruta,Pineapple Juice Drink,0033613041207;033613041207,,Drinks
Tropical Sun,Pink skin peanuts,5029788166956,https://images.openfoodfacts.org/images/products/502/978/816/6956/front_fr.10.400.jpg,Uncategorized
Grace,Plain kefir,0835481004090,,Uncategorized
Tropical Sun,Plantain Chips Chilli,5029788208663,https://images.openfoodfacts.org/images/products/502/978/820/8663/front_en.3.400.jpg,Snacks & Confectionery
Tropical Sun,Plantain Chips Sweet,5029788207376,,Snacks & Confectionery
Unbranded,Plantain Flour 3 kg,,,Flour & Starches
Tropical Sun,Popcorn,5029788140024,https://images.openfoodfacts.org/images/products/502/978/814/0024/front_en.3.400.jpg,Uncategorized
Olu Olu,Pounded Yam 4kg,5030666000217,,Flour & Starches
Fruta,Premium Juice,0033613341048;033613341048,,Uncategorized
,Pure Heaven Wine (Non-Alcoholic) 750mls,,,Drinks
Tropical Sun,Rose Water,5029788181522,https://images.openfoodfacts.org/images/products/502/978/818/1522/front_en.3.400.jpg,Uncategorized
Tropical Sun,Sarodines in soya oil with hot pepper,5029788204474,https://images.openfoodfacts.org/images/products/502/978/820/4474/front_en.4.400.jpg,Hair & Beauty Products
Grace,say aloe,15740359,https://images.openfoodfacts.org/images/products/000/001/574/0359/front_fr.3.400.jpg,Uncategorized
Grace,Say Aloe - Aloe Drink Mango Flavour,5035139218502,https://images.openfoodfacts.org/images/products/503/513/921/8502/front_en.3.400.jpg,Drinks
Grace,Say Aloe Vera Drink Mango Flavour,5035139217628,https://images.openfoodfacts.org/images/products/503/513/921/7628/front_fr.22.400.jpg,Drinks
Grace,Say Aloe Vera Drink Original Flavour,5035139217697,https://images.openfoodfacts.org/images/products/503/513/921/7697/front_fr.23.400.jpg,Drinks
Onga,Seasoning Stock Cube,6008155008050,,Spices/Condiments/Seasonings
Unbranded,Semolina White,,,Uncategorized
Unbranded,Semolina Yellow,,,Uncategorized
Tropical Sun,Smoked Paprika,5029788175750,https://images.openfoodfacts.org/images/products/502/978/817/5750/front_en.3.400.jpg,Uncategorized
Tropical Vibes,Sorrel + Ginger 300ml,5029788188262,,Uncategorized
Golden Penny,Spaghetti – Golden Penny – 500g,6156000032207,,Uncategorized
Ting,Sparkling Grapefruit Flavoured Beverage,0858629001263;858629001263,,Drinks
